"Zoltan, Anne","Annie: the female experience / Anne Zoltan","HQ29 .Z64 1973"
"","The Recorded viola. Volume II [sound recording]","comdisc 9542 vol. 2"
"","The recorded viola. Volume I [sound recording]","comdisc 9542 vol. 1"
"Theodore, Lector, 6th cent","Historia tripartita; Theodoros Anagnostes Kirchengeschichte / herausgegeben von Günther Christian Hansen","BR160.T85 H35 1995"
"Camerata Bariloche, Performer.","Impresiones [sound recording] / music by Guastavino, Ginastera, Gianneo, and Zorzi","comdisc 9631"
"Westwood Wind Quintet","Westwood Wind Quintet [sound recording]","comdisc 3766"
"Rimsky-Korsakov, Nikolay, 1844-1908","Orchestra music. Selections; Capriccio espagnol, op. 34 [sound recording]   Suite from  Le coq d'or    Russian Easter overture / Nikolai Rimsky-Korsakov. Polovtsian dances from  Prince Igor  / Alexander Borodin","comdisc 9161"
"Camara, Laye","Le regard du roi : roman / Camara Laye","PQ3989.L37 R4 1975"
"Callas, Maria, 1923-1977, Vocalist.","I concerti  live  di Maria Callas. 3 [sound recording]","comdisc 9510"
"Johnson, Emma, 1966- Performer.","Pastoral [sound recording] : Emma Johnson plays British clarinet music / by Bax ... [et al.]","comdisc 9575"
"King, Carole","Tapestry [sound recording] / Carole King   [produced by Lou Adler]","comdisc 9569"
"Prokofiev, Sergey, 1891-1953","Petia i volk; Peter and the wolf [sound recording] : a musical fairy tale, op. 67 / Prokofiev. The young person's guide to the orchestra : variations and fugue on a theme of Purcell, op. 34 / Britten","comdisc 9459"
"Harvey Cushing/John Hay Whitney Medical Library","Five hundred years of medicine in art : an illustrated catalogue of prints and drawings in the Clements C. Fry Collection in the Harvey Cushing/John Hay Whitney Medical Library at Yale University / by Susan Wheeler","N8223 .H355 2001"
"Inoue, Ryoki, 1947-","Seqüestro fast-food / Ryoki Inoue","PQ9698.19.N7 S47 1996"
"","Acoustic interactions with submerged elastic structures / with a foreword by Hans A. Bethe","QC242.2 .A26 1996"
"","Miniature fiamminghe, 1475-1550 / a cura di Maurits Smeyers e Jan Van der Stock   [traduzione, Matex A.G.E.]","ND3172.F55 F6416 1996"
"Quintet of the Americas, Instrumentalist.","Quintet of the Americas [sound recording] : self portrait","comdisc 9577"
"Niedermayr, Walter, 1952-","Die bleichen Berge / [mit einem Text von Carl Aigner und Wolfgang Fetz] = I monti pallidi / [con un testo di Carl Aigner e Wolfgang Fetz]","TR647 .N465 1993"
"Volpi Orlandini, Marisa","Cavaliere senza destino / Marisa Volpi   postfazione di Cesare Garboli","PQ4882.O37 C3 1993"
"Delius, Frederick, 1862-1934","Selections; Beecham conducts Delius [sound recording]","comdisc 9558"
"Aries Brass Quintet, Performer.","Aries arise [sound recording]","comdisc 9712"
"Elmer, Herbert Charles, 1860-","Studies in Latin moods and tenses / by Herbert Charles Elmer","475.8 EL6"
"Homer","Iliad. 1908; Homeri Ilias / edidit Guilielmus Dindorf","PA4019 .A2 1908"
"Mack, John (John W.) Performer.","John Mack, oboe [sound recording]","comdisc 9541"
"Wang, Jian, 1968- Instrumentalist.","Presenting Jian Wang [sound recording]","comdisc 9632"
"Parker, William, 1943- Vocalist.","The listeners [sound recording]","comdisc 9045"
"","Tibetan Buddhism [sound recording]","comdisc 9565"
"Carter, Elliott, 1908-","Instrumental music. Selections; Eight compositions (1948-1993) [sound recording] / Elliott Carter","comdisc 9576"
"Isomura, Kazuhide, 1945-","Bach, Britten [sound recording] / Kazuhide Isomura, viola","comdisc 9097"
"","20th century British choral music [sound recording] / Musgrave ... [et al.]","comdisc 9710"
"De Wetter-Smith, Brooks, 1942- Instrumentalist.","The 20th century romantic spirit [sound recording]","comdisc 9707"
"Sargous, Harry, Instrumentalist.","Architecture and aria [sound recording] : three centuries of the virtuoso oboe","comdisc 9706"
"Westwood Wind Quintet, Performer.","Westwood Wind Quintet [sound recording]","comdisc 9705"
