Dealer,Address,City,ST,Zip,phone,Web site
Active Oxford,720 North Lamar,Oxford,MS,38655,662/236-9011,
Adventure Bicycles,8576 Highway 51 North,Minocqua,WI,54548,715/356-1618,www.paddlerama.com
All Sports Replay,115 West Georgia,Gunnison,CO,81230,970/641-1893,
Allegro Cyclery,15 S. Spokane St,Walla Walla,WA,99362,509/525-4949,www.allegrocyclery.com
American Cycle & Fitness (MI),18517 Hall Rd,Macomb Township,MI,48044,,
Backcountry Racks,"2825 Stockyard Road, E1",Missoula,MT,59808,406/532-7225,www.backcountryracks.com
Backyard Bike Shop,W6098 Hwy 12,Whitewater,WI,53190,262/495-8600,
Belmont Wheelworks,480 Trapelo Road,Belmont,MA,02478,617/489-3577,
Bicycle Butler,6520 North Ash Suite AB,Spokane,WA,99208,509/328-7475,www.bicyclebutler.com
Bicycle City,29 Northstar Drive ,Jackson,TN,38305,731/668-0368,www.bicyclecityonline.com
Bicycle Outfitters (CO),437 Colorado Ave,Grand Junction,CO,81501,970/245-2699,
Bicycle Outfitters (FL),11198 70th Ave N,Seminole,FL,33772,727/319-2453,bicycleroutfitters.net
Bicycle Sport,2916 Selwyn Ave,Charlotte,NC,28209,704/335-0323,
Bicycles Plus,"7015 Snider Plaza, Ste. 110",Dallas,TX,75205,214/363-2025,
Bike N Hike,1136 Main St.,Longmont,CO,80501,303/772-5105,
Bike Peddler,5240 9th St Dr #200,Greeley,CO,80634,970/353-2453,
Bike Station- WY,2634 Dell Range Blvd,Cheyenne,WY,82009,307/634-4268,
Bike Stop (TX),2708 Southwest Pky,Wichita Falls,TX,76308,940/322-7301,
Bike Works (NY),50 Chestnut St,Johnstown,NY,12095,518/762-1342,
Bike World (IA),2401 Hickman Rd,Des Moines,IA  50310,,515/255-7047,
Bikes and Beyond,233 Henderson Highway,Winnipeg,Manitoba,R2L 1M1,204/669-5590,www.bikesandbeyond.ca
Bikesenjava,481 Main Street,Rockland,ME,04841,207/596-1004,www.haybikesenjava.com
Bikeways,607 Greenville Hwy,Hendersonville,NC,28792,828-692-0613,
Bikeways of Tucker,4107 Lawrenceville Hwy,Tucker,GA,30084,770-934-2002,
Black Dog Bikes,121 S Lewis St,Staunton,VA,24401,540/887-8700,
Boulder Sports Recycler,4949 N Broadway #113,Boulder,CO,80304,303/786-9940,www.bouldersportsrecycler.com
Budget Bicycle Center,8 North Charter Street ,Madison,WI,53715,608/251-8413,
Carolina Fatz,1240 Brevard Road #3,Asheville,NC,28806,828/665-7744,
Claremont Cycle Depot,12 Plains Road,Claremont,NH,03743,603 542 2453,www.claremontcycle.com
Colorado Cyclist,3970 East Bijou,Colorado Springs,CO,80909,800/688-8600,www.coloradocyclist.com
Corvallis Cyclery,344 SW 2nd,Corvallis,OR,97333,541/752-5952,
Cracks & Racks (Aspen),406 ABC,Aspen,CO,81611,970/925-2287,
Criterium Bicycles,6150 Corporate Dr.,Colorado Springs,CO,80919,719/599-0149,www.criterium-bicycles.com
CS West Bikes,2403 W Colorado Ave,Colorado Springs,CO,80904,719/633-5565,www.cswestbikes.com
Cycle To Fitness,10960 Farmington,Livonia,MI,48150,734/266-8203,www.cycletofitness.com
Dahlonega Wheelworks,24 Alicia Lane Suite 2 ,Dahlonega,GA,30533,706/867-0228,http://www.wheelworksga.com
Dakota Cyclery Mountain Bike Adventures,PO BOX 361,Medora,ND,58645,701/220-4108,
Derby Bicycles,410 East 104th,Thornton,CO,80233,303/288-4100,
Durango Cyclery,143 East 13th Street,Durango,CO,81301,970/247-0747,www.durangocyclery.com
Epic Mountain Sports,PO Box 802,Winter Park,CO,80482,970-726-2868,
Evolution Pro Bike,Box 606,Buckingham,PA,18912,215/794-9600,www.evolutionprobike.com
Excel Sports,2045 32nd St,Boulder,CO,80301,303/444-6737 x 103,
Exeter Cycles,4 Portsmouth Ave,Exeter,NH,03833,603/778-2331,
Fairwheel Bikes,1110 East 6th Street,Tucson,AZ,85719,520/884-9018,http://fairwheelbikes.com/
Freeze Thaw Cycles,218-A Calder Way,State College,PA,16801,814/272-0178,www.freezethaw.com
Full Cycle,1795 Pearl Street,Boulder,CO,80302,303/440-1002,
Georgia Cycle Sport,1029 Baxter Street,Athens,GA,30606,706/549-2453,www.georgiacyclesport.com
Golden Bear Bicycles,290 Nickel Street Suite 100 ,Broomfield,CO,80020,303/469-7273,www.goldenbearbikes.com
Gorham Bike and Ski,693 Congress Street,Portland,ME,04102,207/773-1700,gorhambike.com
Gran Fondo Cycles,5205 Harding Road,Nashville,TN,37205,615/354-1090,
Great Northern Cycles,104 O'Brien Ave,White Fish,MT,59937,406/862-5321,
Herb Bauer Sporting Goods,6264 N Blackstone,Fresno,CA,93710,559-435-8600,
House of Tandems,2043 Pinewoods Way,Spring,TX,77386,713/725-6554,www.houseoftandems.com
Jenson USA,1441 South Carlos Ave,Ontario,CA,91761,888-880-3811,
Kokopelli Bike & Board,130 West Main,Cortez,CO,81321,970/565-9390,
Larry's Bikes Plus,1690 2nd Ave,NY,NY,10128,212/722-2201,
Les Bicyclettes De Hull,675 St Joseph Blvd,Gatineau,QB,J8Y4B4,819/770-6355,http://www.bicyclettesdehull.com/
Lifetime Bikes,40 Grove St. North,Dahlonega,GA,30533,706/644582,www.liftetimebikes.com
Marty's Cycle,720 Crater Lake Ave,Medford,OR,97504,541/772-9253,
McGuckin Hardware,2525 Arapahoe,Boulder,CO,80302,303/443-1822,
Missoula Bicycle Works,708 S. Higgins,Missoula,MT,59801,1-888-888-2453,www.missoulabicycleworks.com
Mock Orange Bikes,492 West End Blvd. ,Winston Salem,NC,27101,336/722-6678,www.mockorangebikes.com
