"name","code","country"
"Alabama","AL","USA"
"Alberta","Alberta","Canada"
"Arizona","AZ","USA"
"Arkansas","AR","USA"
"British Columbia","BC","Canada"
"California","CA","USA"
"Colorado","CO","USA"
"Connecticut","CT","USA"
"Delaware","DE","USA"
"Georgia","GA","USA"
"Idaho","ID","USA"
"Illinois","IL","USA"
"Iowa","IA","USA"
"Kentucky","KY","USA"
"Maine","ME","USA"
"Manitoba","MB","Canada"
"Massachusetts","MA","USA"
"Michigan","MI","USA"
"Minnesota","MN","USA"
"Mississippi","MS","USA"
"Missouri","MO","USA"
"Montana","MT","USA"
"Nebraska","NE","USA"
"New Hampshire","NH","USA"
"New Mexico","NM","USA"
"New York","NY","USA"
"North Carolina","NC","USA"
"Ohio","OH","USA"
"Oklahoma","OK","USA"
"Ontario","Ontario","USA"
"Oregon","OR","USA"
"Pennsylvania","PA","USA"
"Quebec","Quebec","Canada"
"Rhode Island","RI","USA"
"South Carolina","SC","USA"
"South Dakota","SD","USA"
"Tennessee","TN","USA"
"Texas","TX","USA"
"Utah","UT","USA"
"Vermont","VT","USA"
"Virginia","VA","USA"
"Washington","WA","USA"
"Wisconsin","WI","USA"
"Wyoming","WY","USA"
